"itemid","label","category","unitname","linksto","domain"
221744,"Fentanyl","Medications","mg","inputevents","opioid"
221833,"Hydromorphone (Dilaudid)","Medications","mg","inputevents","opioid"
225154,"Morphine Sulfate","Medications","mg","inputevents","opioid"
225942,"Fentanyl (Concentrate)","Medications","mg","inputevents","opioid"
225972,"Fentanyl (Push)","Medications","mcg","inputevents","opioid"
225973,"Meperidine (Demerol)","Medications","mg","inputevents","opioid"
227520,"Methadone Hydrochloride","Medications","mg","inputevents","opioid"
224491,"Lidocaine 1% (LP)","Lumbar Puncture","mL SC","chartevents","non_opioid_analgesic"
224505,"Lidocaine 1% (THCEN)","Thoracentesis","mL SC","chartevents","non_opioid_analgesic"
225257,"Lidocaine 1% (PACEN)","Paracentesis","mL SC","chartevents","non_opioid_analgesic"
227211,"Ketamine (Intubation)","Intubation","mg","chartevents","non_opioid_analgesic"
228052,"Topical Lidocaine used (Bronch)","Bronchoscopy",NA,"chartevents","non_opioid_analgesic"
229486,"Topical Lidocaine used (SBNET)","SBNET",NA,"chartevents","non_opioid_analgesic"
221712,"Ketamine","Medications","mg","inputevents","non_opioid_analgesic"
225150,"Dexmedetomidine (Precedex)","Medications","mcg","inputevents","non_opioid_analgesic"
225945,"Lidocaine","Medications","mg","inputevents","non_opioid_analgesic"
228315,"Acetaminophen-IV","Medications","mg","inputevents","non_opioid_analgesic"
229072,"Ketorolac (Toradol)","Medications","mg","inputevents","non_opioid_analgesic"
229420,"Dexmedetomidine (Precedex)","Medications","mcg","inputevents","non_opioid_analgesic"
223753,"Riker-SAS Scale","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228300,"CAM-ICU MS change","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228301,"CAM-ICU Inattention","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228302,"CAM-ICU RASS LOC","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228303,"CAM-ICU Disorganized thinking","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228332,"Delirium assessment","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228334,"CAM-ICU Altered LOC","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228335,"CAM-ICU Disorganized thinking","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228336,"CAM-ICU Inattention","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228337,"CAM-ICU MS Change","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
228688,"Delirium","MD Progress Note",NA,"chartevents","delirium_sedation_scale"
229324,"CAM-ICU Disorganized thinking","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
229325,"CAM-ICU Inattention","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
229326,"CAM-ICU MS Change","Pain/Sedation",NA,"chartevents","delirium_sedation_scale"
220339,"PEEP set","Respiratory",NA,"chartevents","ventilation"
223848,"Ventilator Type","Respiratory",NA,"chartevents","ventilation"
223849,"Ventilator Mode","Respiratory",NA,"chartevents","ventilation"
224684,"Tidal Volume (set)","Respiratory",NA,"chartevents","ventilation"
224685,"Tidal Volume (observed)","Respiratory",NA,"chartevents","ventilation"
224686,"Tidal Volume (spontaneous)","Respiratory",NA,"chartevents","ventilation"
224700,"Total PEEP Level","Respiratory",NA,"chartevents","ventilation"
227010,"FiO2_ApacheIV","Scores - APACHE IV",NA,"chartevents","ventilation"
225792,"Invasive Ventilation","2-Ventilation",NA,"procedureevents","ventilation"
225794,"Non-invasive Ventilation","2-Ventilation",NA,"procedureevents","ventilation"
225448,"Percutaneous Tracheostomy","1-Intubation/Extubation",NA,"procedureevents","ventilation"
225468,"Unplanned Extubation (patient-initiated)","1-Intubation/Extubation",NA,"procedureevents","ventilation"
225477,"Unplanned Extubation (non-patient initiated)","1-Intubation/Extubation",NA,"procedureevents","ventilation"
226237,"Open Tracheostomy","1-Intubation/Extubation",NA,"procedureevents","ventilation"
227194,"Extubation","1-Intubation/Extubation",NA,"procedureevents","ventilation"
224385,"Intubation","1-Intubation/Extubation",NA,"procedureevents","ventilation"
